manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price
Toyota,Highlander,2008,173874,Nigerian used, ,Petrol,Automatic,Black,3594000
Toyota,Corolla,2011,66899,Foreign used,D,Petrol,Automatic,SILVER,3706000
Toyota,Camry,2007,111326,Nigerian used,C,Petrol,Automatic,BLUE,1522000
Toyota,Camry,2006,100434,Nigerian used, ,Petrol,Automatic,BLACK,1157500
Mercedes-Benz,C300,2009,133047,Nigerian used,D,Petrol,Automatic,BLACK,2810000
Toyota,Camry,2011,68640,Foreign used,D,Petrol,Automatic,SILVER,2810000
Honda,Cr-V,1997,174101,Nigerian used, ,Petrol,Automatic,BLACK,626000
BMW,X5,2004,186561,Nigerian used,E,Petrol,Automatic,BROWN,850000
Nissan,Xterra,2006,114063,Nigerian used,D,Petrol,Automatic,,1018000
Toyota,Camry,2009,277218,Foreign used,C,Petrol Electric,Semiautomatic,RED,2306000
Toyota,Sienna,2004,261729,Foreign used,C,Petrol,Automatic,,2586000
Mercedes-Benz,E320,2005,142373,Nigerian used,C,Petrol,Automatic,Grey,1242000
Land Rover,Range Rover Sport,2010,72071,Nigerian used,C,Petrol,Automatic,RED,5050000
Toyota,Sienna,2004,159434,Foreign used, ,Petrol,Automatic,,2810000
Honda,Cr-V,2008,207839,Nigerian used,E,Petrol,Automatic,RED,1858000
Toyota,Solara,2004,1010,Nigerian used,D,Petrol,Automatic,RED,1746000
Mazda,6,2007,91334,Nigerian used, ,Petrol,Automatic,,850000
Volkswagen,Passat,2006,112372,Nigerian used,D,Petrol,Automatic,Black,682000
Peugeot,307,2008,165848,Nigerian used,C,Petrol,Automatic,PINK,906000
Toyota,Land Cruiser Prado,2012,204490,Nigerian used,D,Petrol,Automatic,BLACK,13450000
Lexus,Es 300,2002,295453,Nigerian used, ,Petrol,Automatic,Blue,1578000
Nissan,Pathfinder,2001,141017,Nigerian used,D,Petrol,Manual,silver,458000
Toyota,Camry,2008,0,Nigerian used,E,Petrol,Automatic,Black,1802000
Honda,Cr-V,2003,335401,Nigerian used,D,Petrol,Automatic,,906000
Kia,Cerato,2014,47342,Nigerian used,C,Electric,Automatic,BLACK,2026000
Toyota,Matrix,2006,171208,Nigerian used,E,Petrol,Automatic,BLUE,1074000
Toyota,Camry,2007,131903,Nigerian used, ,Petrol,Automatic,SILVER,1914000
Land Rover,Range Rover Sport,2010,123598,Nigerian used,C,Petrol,Automatic,,3930000
Honda,Accord,2008,125373,Nigerian used, ,Petrol,Automatic,Black,1186000
Lexus,Rx 300,2000,164,Nigerian used,D,Petrol,Automatic,Silver,1690000
Kia,Shuma,2003,133013,Nigerian used, ,Petrol,Automatic,Red,514000
Hyundai,Ix35,2011,79404,Nigerian used,C,Petrol,Automatic,Green,2418000
Mercedes-Benz,Ml350,2004,1,Nigerian used,D,Petrol,Automatic,silver,906000
Mercedes-Benz,E550,2011,30121,Nigerian used, ,Petrol,Automatic,White,4490000
Lexus,Es 330,2004,63726,Nigerian used, ,Petrol,Automatic,Silver,2138000
Toyota,Rav4,2007,147370,Nigerian used,D,Petrol,Automatic,BLACK,1690000
Toyota,Camry,1995,246525,Nigerian used,D,Petrol,Automatic,,458000
Lexus,Is 250,2008,83378,Nigerian used,C,Petrol,Automatic,BLACK,2586000
Kia,Rio,2011,97704,Nigerian used, ,Petrol,Manual,SILVER,906000
Lexus,Gx 470,2004,86693,Foreign used,D,Petrol,Automatic,BLACK,4490000
Kia,Optima,2013,119553,Nigerian used,C,Petrol,Automatic,Silver,2362000
Mercedes-Benz,Ml350,2013,102445,Foreign used,C,Petrol,Automatic,,13002000
Suzuki,XL-7,2001,218686,Nigerian used,,,,,514000
Toyota,Corolla,2004,114516,Foreign used, ,Petrol,Automatic,,2194000
Honda,Accord Crosstour,2010,86997,Nigerian used,D,Petrol,Automatic,,2922000
Kia,Cerato,2009,141981,Nigerian used, ,Petrol,Automatic,Black,570000
Volvo,Xc70,2011,105108,Nigerian used, ,Petrol,Automatic,BLACK,3594000
Honda,Accord,2003,82972,Nigerian used,E,Petrol,Automatic,,682000
Lexus,Rx 330,2004,94771,Nigerian used,D,Petrol,Automatic,Silver,2026000
Suzuki,Sx4,2007,83387,Nigerian used, ,Petrol,Automatic,Silver,570000
Ford,Edge,2011,316622,Nigerian used,D,Petrol,Automatic,BLACK,2810000
Infiniti,Qx,1998,226429,Nigerian used,E,Petrol,Automatic,,738000
Lexus,Gs 300,2006,137698,Foreign used,C,Petrol,Automatic,Grey,3706000
Toyota,Camry,2005,105516,Nigerian used,C,Petrol,Automatic,BLUE,1354000
GREY,,,,,,,,,3067600
Mercedes-Benz,Ml500,2003,167308,Nigerian used,D,Petrol,Automatic,SILVER,1578000
Toyota,Highlander,2003,183983,Nigerian used,E,Petrol,Automatic,grey,1410000
Toyota,Highlander,2002,75139,Nigerian used, ,Petrol,Automatic,,2026000
Land Rover,Range Rover Sport,2009,187052,Nigerian used, ,Petrol,Automatic,RED,5610000
Toyota,Rav4,2005,70932,Nigerian used, ,Petrol,Automatic,BLACK,1130000
Honda,Accord,2008,221321,Nigerian used,E,Petrol,Automatic,BLACK,1018000
Lexus,Es 350,2007,64717,Nigerian used, ,Petrol,Automatic,BROWN,3706000
Land Rover,RANGE ROVER,2004,140000,Nigerian used,D,Petrol,Automatic,,2250000
Toyota,Corolla,2010,181407,Nigerian used, ,Petrol,Automatic,,1914000
Toyota,Venza,2010,114375,Foreign used,C,Petrol,Automatic,BLACK,5610000
Lexus,Gx 470,2004,163151,Nigerian used,D,Petrol,Automatic,Silver,3930000
Honda,Accord,2012,117361,Nigerian used, ,Petrol,Automatic,BLACK,1802000
Mercedes-Benz,Sprinter,2001,604158,Nigerian used,D,Diesel,Automatic,White,4490000
Nissan,Quest,2005,0,Foreign used, ,Petrol,Automatic,BLACK,1219600
Mercedes-Benz,A160,2001,247568,Foreign used,D,Diesel,Automatic,BLACK,1466000
Toyota,Sienna,2000,211709,Nigerian used,D,Petrol,Automatic,GRAY,1242000
Honda,Pilot,2005,298797,Foreign used,D,Petrol,Automatic,Silver,2250000
Jeep,Liberty,2012,89781,Nigerian used,C,Petrol,Automatic,,4266000
Toyota,Rav4,2004,133937,Nigerian used,D,Petrol,Automatic,BLACK,1130000
BMW,318i,2008,187017,Nigerian used,D,Petrol,Automatic,BLACK,1354000
Hyundai,Santa Fe,2004,197923,Nigerian used,D,Petrol,Automatic,BLACK,1466000
Toyota,Venza,2013,113446,Nigerian used,C,Petrol,Automatic,BLACK,4546000
Toyota,Highlander,2017,52446,Nigerian used, ,Petrol,Automatic,,11770000
Nissan,Versa,2014,84236,Foreign used,D,Petrol,Automatic,SILVER,2810000
Toyota,Camry,2004,186331,Nigerian used,D,Petrol,Automatic,GRAY,1410000
Honda,Accord,2015,69811,Nigerian used,C,Petrol,Automatic,BLUE,5050000
Hyundai,Sonata,2012,106382,Foreign used,D,Petrol,Automatic,SILVER,3034000
Toyota,Rav4,2006,152277,Nigerian used,D,Petrol,Automatic,BLUE,1858000
