manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price
Toyota,Land Cruiser Prado,2012.0,204490.0,Nigerian used,D,Petrol,Automatic,BLACK,13450000.0
Nissan,Pathfinder,2001.0,141017.0,Nigerian used,D,Petrol,Manual,silver,458000.0
Toyota,Camry,2008.0,0.0,Nigerian used,E,Petrol,Automatic,Black,1802000.0
Honda,Cr-V,2003.0,335401.0,Nigerian used,D,Petrol,Automatic,gold,906000.0
Kia,Cerato,2014.0,47342.0,Nigerian used,C,Electric,Automatic,BLACK,2026000.0
Toyota,Matrix,2006.0,171208.0,Nigerian used,E,Petrol,Automatic,BLUE,1074000.0
Land Rover,Range Rover Sport,2010.0,123598.0,Nigerian used,C,Petrol,Automatic,white,3930000.0
Lexus,Rx 300,2000.0,164.0,Nigerian used,D,Petrol,Automatic,Silver,1690000.0
Hyundai,Ix35,2011.0,79404.0,Nigerian used,C,Petrol,Automatic,Green,2418000.0
Mercedes-Benz,Ml350,2004.0,1.0,Nigerian used,D,Petrol,Automatic,silver,906000.0
Toyota,Rav4,2007.0,147370.0,Nigerian used,D,Petrol,Automatic,BLACK,1690000.0
Toyota,Camry,1995.0,246525.0,Nigerian used,D,Petrol,Automatic,green,458000.0
Lexus,Is 250,2008.0,83378.0,Nigerian used,C,Petrol,Automatic,BLACK,2586000.0
Lexus,Gx 470,2004.0,86693.0,Foreign used,D,Petrol,Automatic,BLACK,4490000.0
Kia,Optima,2013.0,119553.0,Nigerian used,C,Petrol,Automatic,Silver,2362000.0
Mercedes-Benz,Ml350,2013.0,102445.0,Foreign used,C,Petrol,Automatic,wine,13002000.0
Honda,Accord Crosstour,2010.0,86997.0,Nigerian used,D,Petrol,Automatic,opal sage,2922000.0
Honda,Accord,2003.0,82972.0,Nigerian used,E,Petrol,Automatic,blue,682000.0
Lexus,Rx 330,2004.0,94771.0,Nigerian used,D,Petrol,Automatic,Silver,2026000.0
Ford,Edge,2011.0,316622.0,Nigerian used,D,Petrol,Automatic,BLACK,2810000.0
Infiniti,Qx,1997.0,226429.0,Nigerian used,E,Petrol,Automatic,green,738000.0
Lexus,Gs 300,2006.0,137698.0,Foreign used,C,Petrol,Automatic,Grey,3706000.0
