manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price,car_age
Nissan,Xterra,2005,82547,Nigerian used,D,Petrol,Automatic,black,1145000,16
Mitsubishi,Montero,2001,220938,Nigerian used,E,Petrol,Automatic,red,516250,20
Nissan,Pathfinder,2006,145037,Nigerian used,D,Petrol,Automatic,black,1032500,15
Honda,Civic,2010,184297,Foreign used,E,Petrol,Manual,black,1370000,11
Toyota,Sienna,2007,255341,Foreign used,E,Petrol,Automatic,silver,2810000,14
Mercedes-Benz,Gl450,2008,170445,Foreign used,C,Petrol,Automatic,silver,4154000,13
Mercedes-Benz,Gl450,2010,122071,Nigerian used,D,Petrol,Automatic,black,3395000,11
Toyota,Camry,2004,224049,Nigerian used,E,Petrol,Automatic,grey,1578000,17
Nissan,Maxima,2010,165866,Nigerian used,D,Petrol,Automatic,silver,962000,11
Honda,Pilot,2004,114271,Nigerian used,C,Petrol,Automatic,grey,1032500,17
Infiniti,G,2009,157356,Nigerian used,C,Petrol,Automatic,black,1538750,12
Toyota,Camry,2009,93172,Foreign used,C,Petrol,Automatic,silver,3168400,12
Opel,Zafira,2004,252752,Foreign used,C,Petrol,Manual,blue,1595000,17
Toyota,Matrix,2006,38790,Nigerian used,E,Petrol,Automatic,grey,1774000,15
Honda,Odyssey,2006,189935,Nigerian used,C,Petrol,Automatic,silver,2026000,15
Toyota,Sienna,1999,240341,Nigerian used,E,Petrol,Automatic,grey,695000,22
Nissan,X-Trail,2010,104888,Nigerian used,D,Petrol,Automatic,grey,1820000,11
Toyota,Highlander,2008,86273,Nigerian used,C,Petrol,Automatic,blue,3845000,13
Land Rover,Range Rover HSE,2007,170995,Foreign used,D,Petrol,Automatic,black,3395000,14
Toyota,Camry,2012,165629,Nigerian used,C,Petrol,Automatic,black,3395000,9
Toyota,Camry,2013,71510,Nigerian used,C,Petrol,Automatic,black,4154000,8
Mazda,6,2004,298673,Nigerian used,C,Petrol,Automatic,blue,920000,17
Toyota,Sienna,2014,138163,Nigerian used,C,Petrol,Automatic,white,5420000,7
Lexus,Rx 300,1999,98454,Nigerian used,C,Petrol,Automatic,white,2250000,22
BMW,5 Series,2004,131573,Nigerian used,D,Petrol,Automatic,green,976250,17
Toyota,Corolla,2013,191983,Foreign used,C,Petrol,Automatic,white,5050000,8
Toyota,Hilux,2008,239473,Nigerian used,E,Petrol,Manual,blue,5498000,13
Nissan,Almera,2005,110045,Nigerian used,E,Petrol,Manual,black,751250,16
Renault,Duster,2004,29955,Nigerian used,C,Petrol,Automatic,grey,1707500,17
Toyota,Sienna,2009,127053,Nigerian used,D,Petrol,Automatic,grey,2026000,12
Mercedes-Benz,GL 450,2006,127589,Nigerian used,C,Petrol,Automatic,grey,2500000,15
BMW,320i,2008,212354,Nigerian used,E,Petrol,Automatic,white,928400,13
Hyundai,Ix35,2011,101077,Nigerian used,C,Petrol,Automatic,grey,4520000,10
Lexus,Rx 330,2004,20922,Foreign used,D,Petrol,Automatic,black,3594000,17
Toyota,Sienna,1999,159368,Nigerian used,E,Petrol,Automatic,wine,807500,22
Honda,Pilot,2004,137546,Nigerian used,C,Petrol,Automatic,black,1538750,17
Toyota,Corolla,1999,148074,Nigerian used,E,Petrol,Automatic,green,526250,22
Lexus,Rx 350,2008,81131,Nigerian used,C,Petrol,Automatic,gold,4295000,13
Toyota,Camry,2003,266150,Nigerian used,E,Petrol,Automatic,silver,1595000,18
Chevrolet,Aveo,2006,182580,Nigerian used,E,Petrol,Manual,blue,582500,15
Toyota,Sienna,2007,190384,Foreign used,C,Petrol,Automatic,blue,2810000,14
Kia,Rio,2007,142835,Nigerian used,C,Petrol,Automatic,silver,794000,14
Mercedes-Benz,C240,2004,299155,Nigerian used,E,Petrol,Automatic,silver,850000,17
Toyota,Venza,2009,69422,Nigerian used,C,Petrol,Automatic,brown,5082500,12
Toyota,Camry,1998,197421,Nigerian used,E,Petrol,Automatic,black,807500,23
Mazda,Cx-7,2011,94440,Foreign used,C,Petrol,Automatic,black,3594000,10
Skoda,Octavia,2008,155585,Nigerian used,C,Petrol,Manual,black,1130000,13
Nissan,Pathfinder,1997,285506,Nigerian used,D,Petrol,Automatic,black,695000,24
Acura,Mdx,2008,201624,Nigerian used,D,Petrol,Automatic,wine,2698000,13
Toyota,Corolla,2012,76324,Nigerian used,D,Petrol,Automatic,grey,2495000,9
Toyota,Corolla,2005,119481,Foreign used,C,Petrol,Automatic,gold,2714800,16
Toyota,Sienna,2002,144742,Nigerian used,D,Petrol,Automatic,silver,1130000,19
Lexus,Es 300,2002,67845,Nigerian used,C,Petrol,Automatic,silver,1578000,19
Toyota,Corolla,2010,162650,Nigerian used,E,Petrol,Automatic,black,2250000,11
Toyota,Corolla,2005,153381,Nigerian used,C,Petrol,Manual,black,850000,16
Infiniti,Fx,2003,147837,Nigerian used,E,Petrol,Automatic,silver,2026000,18
Honda,Accord,2003,227795,Nigerian used,E,Petrol,Automatic,black,962000,18
Honda,Accord,2003,231072,Nigerian used,D,Petrol,Automatic,wine,741250,18
Chevrolet,Aveo,2006,84354,Nigerian used,D,Petrol,Automatic,blue,682000,15
Mercedes-Benz,Gl450,2011,82218,Nigerian used,D,Petrol,Automatic,black,5645000,10
Land Rover,Range Rover Sport,2006,89626,Nigerian used,C,Petrol,Automatic,black,3957500,15
Mercedes-Benz,Gl450,2008,110507,Nigerian used,E,Petrol,Automatic,silver,2832500,13
Land Rover,Range Rover Sport,2007,48915,Nigerian used,E,Petrol,Automatic,black,1914000,14
Honda,Accord,1996,294674,Nigerian used,D,Petrol,Automatic,black,301250,25
Toyota,Highlander,2010,150201,Foreign used,D,Petrol,Automatic,silver,5645000,11
Toyota,Camry,2000,216845,Nigerian used,C,Petrol,Automatic,black,807500,21
Pontiac,Vibe,2005,128304,Nigerian used,C,Petrol,Automatic,blue,1932500,16
Honda,Accord,2006,143974,Nigerian used,D,Petrol,Automatic,grey,1257500,15
Honda,Cr-V,2010,110801,Nigerian used,D,Petrol,Automatic,blue,1914000,11
Mazda,Cx-7,2009,194594,Nigerian used,D,Petrol,Automatic,black,1753750,12
Honda,Accord Crosstour,2010,91012,Nigerian used,D,Petrol,Automatic,black,2270000,11
Mitsubishi,L200,2007,154738,Nigerian used,E,Diesel,Manual,white,1707500,14
Toyota,Camry,2002,124022,Nigerian used,D,Petrol,Automatic,blue,1257500,19
Mercedes-Benz,Gl550,2010,119031,Nigerian used,D,Petrol,Automatic,white,4295000,11
Toyota,Avensis,2007,131352,Nigerian used,D,Petrol,Automatic,silver,1167500,14
Mercury,Villager,1999,169252,Nigerian used,E,Petrol,Automatic,wine,797500,22
Hyundai,Elantra,2012,62777,Nigerian used,C,Petrol,Automatic,white,3170000,9
Ford,Ranger,2007,13808,Nigerian used,E,Diesel,Manual,blue,920000,14
Land Rover,Range Rover Vogue,2010,197648,Nigerian used,E,Diesel,Automatic,grey,2045000,11
Honda,Cr-V,2007,47483,Nigerian used,C,Petrol,Automatic,grey,1707500,14
Toyota,Camry,2004,155724,Nigerian used,E,Petrol,Automatic,black,1242000,17
Lexus,GS 350,2010,98889,Foreign used,E,Petrol,Automatic,red,3057500,11
Honda,Accord,2008,103850,Nigerian used,C,Petrol,Automatic,black,1370000,13
Toyota,Camry,2009,200705,Foreign used,C,Petrol,Automatic,grey,3258000,12
Chrysler,300,2006,113316,Nigerian used,D,Petrol,Automatic,black,1088750,15
Jeep,Liberty,2008,161314,Foreign used,C,Petrol,Automatic,black,4042000,13
Toyota,Avensis,2007,135917,Nigerian used,C,Petrol,Automatic,silver,1932500,14
Hyundai,Accent,2009,103980,Nigerian used,E,Petrol,Manual,silver,1018000,12
Mitsubishi,Montero,2003,194016,Nigerian used,D,Petrol,Automatic,silver,526250,18
Ford,Econoline,2009,101497,Nigerian used,D,Petrol,Automatic,white,1242000,12
Honda,Accord,2006,197890,Nigerian used,D,Petrol,Automatic,red,920000,15
Toyota,Avalon,2008,105654,Nigerian used,C,Petrol,Automatic,wine,1634000,13
Mercedes-Benz,Ml350,2006,159847,Nigerian used,D,Petrol,Automatic,black,2607500,15
Acura,Legend,2002,208163,Nigerian used,E,Petrol,Automatic,black,582500,19
Kia,Cerato,2009,102633,Nigerian used,D,Petrol,Manual,black,1186000,12
Lexus,Rx 330,2004,106879,Nigerian used,D,Petrol,Automatic,silver,2138000,17
Nissan,Altima,2007,230454,Foreign used,D,Petrol,Automatic,grey,1746000,14
Nissan,Versa,1991,195221,Nigerian used,E,Petrol,Manual,brown,592625,30
Lexus,Rx 350,2008,76401,Nigerian used,E,Petrol,Automatic,grey,2922000,13
Peugeot,406,1998,113028,Nigerian used,E,Petrol,Manual,black,570000,23
Volkswagen,Passat,2013,61462,Nigerian used,C,Petrol,Automatic,grey,2270000,8
Lexus,Rx 330,2004,243337,Nigerian used,D,Petrol,Automatic,grey,2045000,17
Honda,Cr-V,2007,306026,Foreign used,C,Petrol,Automatic,red,3057500,14
Mitsubishi,Montero,2004,266801,Nigerian used,E,Petrol,Automatic,gold,1257500,17
Toyota,Sienna,2004,264520,Nigerian used,D,Petrol,Automatic,blue,751250,17
Nissan,Pathfinder,2002,159628,Nigerian used,D,Petrol,Automatic,black,526250,19
BMW,3 Series,2005,159325,Nigerian used,D,Petrol,Automatic,white,1495000,16
Lexus,Rx 300,2000,293311,Nigerian used,D,Petrol,Automatic,black,1538750,21
Nissan,Altima,2015,91262,Foreign used,C,Petrol,Automatic,black,3722500,6
Honda,Odyssey,2004,247226,Foreign used,E,Petrol,Automatic,grey,1360000,17
Peugeot,307,2005,258276,Nigerian used,C,Petrol,Automatic,grey,751250,16
Honda,Accord Crosstour,2010,98345,Nigerian used,C,Petrol,Automatic,black,3395000,11
Peugeot,307,2002,301989,Nigerian used,D,Petrol,Automatic,silver,751250,19
Nissan,Versa,2007,283405,Foreign used,E,Petrol,Automatic,grey,1690000,14
Toyota,Camry,2002,121098,Nigerian used,C,Petrol,Automatic,silver,1370000,19
Toyota,Solara,2004,165541,Nigerian used,D,Petrol,Automatic,black,1242000,17
Kia,Sportage,2012,158107,Nigerian used,E,Petrol,Automatic,black,1914000,9
Hyundai,Santa Fe,2001,217294,Nigerian used,D,Petrol,Manual,orange,491600,20
Nissan,Xterra,2002,47379,Nigerian used,D,Petrol,Automatic,silver,1145000,19
Mercedes-Benz,A160,2001,80640,Nigerian used,D,Petrol,Manual,green,962000,20
Toyota,Camry,2012,43758,Nigerian used,C,Petrol,Automatic,black,3482000,9
Chevrolet,Nubira,2006,157197,Foreign used,D,Petrol,Manual,gold,1130000,15
Mercedes-Benz,A140,2000,180948,Nigerian used,E,Petrol,Manual,silver,695000,21
Honda,Pilot,2003,295724,Nigerian used,D,Petrol,Automatic,green,1242000,18
Toyota,Avalon,2006,242403,Foreign used,D,Petrol,Automatic,silver,2372500,15
Toyota,Camry,2011,167899,Foreign used,C,Petrol,Automatic,black,3338750,10
Lexus,Es,2004,96462,Nigerian used,E,Petrol,Automatic,black,1482500,17
Nissan,Altima,2009,74772,Nigerian used,D,Petrol,Automatic,black,920000,12
Toyota,Camry,2002,232785,Nigerian used,C,Petrol,Automatic,silver,1257500,19
Toyota,Corolla,2005,132558,Foreign used,C,Petrol,Automatic,white,2362000,16
Ford,Explorer,2002,92742,Nigerian used,C,Petrol,Automatic,white,1242000,19
Dodge,Caravan,2006,247073,Nigerian used,C,Petrol,Automatic,blue,931250,15
Land Rover,Range Rover HSE,2008,266831,Nigerian used,C,Petrol,Automatic,black,4154000,13
Toyota,Highlander,2010,83713,Nigerian used,D,Petrol,Automatic,black,3722500,11
Honda,Accord,2003,187857,Nigerian used,D,Petrol,Manual,grey,682000,18
Lexus,Rx 300,2001,191700,Nigerian used,D,Petrol,Automatic,silver,1482500,20
Hyundai,Accent,2012,66408,Nigerian used,E,Petrol,Automatic,black,1201250,9
Lexus,Rx 300,1999,219299,Nigerian used,D,Petrol,Automatic,black,962000,22
Ford,Escape,2008,148290,Foreign used,D,Petrol,Automatic,blue,1650000,13
Mitsubishi,L200,2013,67452,Nigerian used,D,Petrol,Manual,white,2474000,8
Toyota,Camry,2012,105292,Foreign used,D,Petrol,Automatic,silver,4955000,9
Dodge,Ram,2014,181352,Foreign used,C,Petrol,Automatic,white,5645000,7
Ford,Edge,2008,223091,Nigerian used,D,Petrol,Automatic,black,1690000,13
Nissan,Primera,2004,124780,Nigerian used,D,Petrol,Manual,silver,582500,17
Ford,Escape,2014,107084,Nigerian used,E,Petrol,Automatic,black,3930000,7
Toyota,Camry,2011,110671,Foreign used,D,Petrol,Automatic,grey,3620000,10
Mercedes-Benz,GL 450,2006,96114,Nigerian used,D,Petrol,Automatic,silver,3706000,15
Peugeot,206,2009,19400,Nigerian used,C,Petrol,Automatic,silver,1482500,12
Toyota,Avalon,2005,122265,Foreign used,D,Petrol,Automatic,gold,2157500,16
Toyota,Camry,2007,196591,Nigerian used,D,Petrol,Automatic,silver,2270000,14
Lexus,Is 250,2006,161718,Foreign used,E,Petrol,Automatic,black,3482000,15
Nissan,Pathfinder,2005,176424,Nigerian used,D,Petrol,Automatic,wine,906000,16
Hyundai,Elantra,2014,93640,Nigerian used,C,Petrol,Automatic,silver,2382500,7
Mercedes-Benz,C300,2008,130756,Nigerian used,C,Petrol,Automatic,white,2832500,13
Volkswagen,Passat,2012,87373,Nigerian used,D,Petrol,Automatic,silver,2157500,9
Chrysler,Pt Cruiser,2005,87048,Nigerian used,E,Petrol,Manual,silver,403750,16
Ford,Explorer,2009,146113,Foreign used,D,Petrol,Automatic,black,3930000,12
Toyota,Camry,2000,225147,Nigerian used,E,Petrol,Automatic,gold,695000,21
Toyota,Rav4,2007,125567,Nigerian used,C,Petrol,Automatic,white,2810000,14
BMW,3 Series,2006,302006,Nigerian used,D,Petrol,Automatic,grey,1257500,15
Toyota,Camry,2004,194476,Nigerian used,E,Petrol,Automatic,gold,1466000,17
Toyota,Corolla,2013,130027,Nigerian used,E,Petrol,Automatic,black,1707500,8
Toyota,Sienna,1999,234699,Nigerian used,E,Petrol,Automatic,brown,682000,22
Honda,Pilot,2003,151451,Nigerian used,D,Petrol,Automatic,grey,1482500,18
Toyota,Camry,2008,199111,Nigerian used,E,Petrol,Automatic,silver,2810000,13
Toyota,Rav4,2007,232545,Foreign used,C,Petrol,Automatic,black,3146000,14
Toyota,Highlander,2002,42320,Nigerian used,D,Petrol,Automatic,blue,1578000,19
Infiniti,Qx,2001,136883,Nigerian used,E,Petrol,Automatic,silver,695000,20
Lexus,Gx,2003,72688,Nigerian used,D,Petrol,Automatic,blue,2810000,18
Ford,Explorer,2002,245960,Nigerian used,D,Petrol,Automatic,black,1354000,19
Land Rover,Discovery,2011,74309,Nigerian used,D,Petrol,Automatic,black,3395000,10
Honda,Pilot,2003,139251,Nigerian used,C,Petrol,Automatic,black,1482500,18
Toyota,Camry,2001,175978,Nigerian used,D,Petrol,Automatic,green,695000,20
Mercedes-Benz,Clk500,2006,16517,Foreign used,D,Petrol,Automatic,silver,1802000,15
Toyota,Camry,2002,257150,Foreign used,C,Petrol,Automatic,white,2026000,19
Toyota,Avensis,2003,85124,Nigerian used,E,Petrol,Automatic,silver,1010000,18
Toyota,Venza,2009,45597,Nigerian used,D,Petrol,Automatic,red,4407500,12
Toyota,Avensis,2008,299787,Foreign used,D,Petrol,Manual,grey,1354000,13
Honda,Accord,2006,204791,Nigerian used,D,Petrol,Automatic,silver,850000,15
Volkswagen,CC,2009,123816,Foreign used,E,Petrol,Automatic,black,2045000,12
Honda,Accord,2009,103704,Nigerian used,E,Petrol,Automatic,black,1130000,12
Toyota,Rav4,2010,90566,Foreign used,E,Petrol,Automatic,green,5082500,11
Toyota,Corolla,2010,124928,Nigerian used,C,Petrol,Manual,black,1354000,11
Nissan,Sentra,2013,154556,Nigerian used,E,Petrol,Automatic,black,2045000,8
Toyota,Camry,2012,9780,Nigerian used,D,Petrol,Automatic,grey,3594000,9
Lexus,Rx 300,2000,259566,Nigerian used,D,Petrol,Automatic,black,1145000,21
Infiniti,Qx,1997,172205,Nigerian used,E,Petrol,Automatic,black,470000,24
Toyota,Corolla,2010,192966,Nigerian used,D,Petrol,Automatic,grey,2485000,11
Toyota,Corolla,2005,157719,Foreign used,E,Petrol,Manual,grey,2138000,16
Mazda,6,2009,119795,Foreign used,D,Petrol,Automatic,red,1466000,12
Mazda,Cx-7,2011,167807,Foreign used,C,Petrol,Automatic,black,2045000,10
Honda,Accord,1999,140011,Nigerian used,E,Petrol,Manual,wine,357500,22
Toyota,Avalon,2000,271432,Nigerian used,D,Petrol,Automatic,silver,815000,21
Nissan,Altima,2011,141939,Foreign used,D,Petrol,Automatic,wine,2832500,10
Honda,Accord,2008,101131,Nigerian used,E,Petrol,Automatic,red,1466000,13
Toyota,Sienna,2008,216198,Nigerian used,D,Petrol,Automatic,blue,1472500,13
Honda,Accord,1998,212565,Nigerian used,D,Petrol,Automatic,silver,626000,23
Toyota,Avalon,2000,295438,Nigerian used,D,Petrol,Automatic,red,1130000,21
Toyota,Camry,2009,249816,Foreign used,E,Petrol,Automatic,gold,3282500,12
Toyota,Sienna,2002,125470,Nigerian used,D,Petrol,Automatic,gold,807500,19
Acura,Mdx,2004,167458,Foreign used,C,Petrol,Automatic,brown,1914000,17
Acura,Rdx,2008,106384,Nigerian used,D,Petrol,Automatic,grey,1932500,13
Kia,Optima,2014,131045,Nigerian used,C,Petrol,Automatic,silver,2945000,7
Toyota,Rav4,2007,93958,Nigerian used,D,Petrol,Automatic,blue,2474000,14
Nissan,Rogue,2012,162211,Nigerian used,C,Petrol,Automatic,silver,2922000,9
Toyota,Corolla,2014,61010,Nigerian used,B,Petrol,Automatic,white,4070000,7
Volvo,Xc90,2004,122771,Nigerian used,D,Petrol,Automatic,blue,863500,17
Lexus,Is 250,2008,130165,Foreign used,E,Petrol,Automatic,blue,3818000,13
Toyota,Corolla,2005,146830,Nigerian used,D,Petrol,Automatic,silver,1595000,16
Ford,Focus,2012,125997,Nigerian used,E,Petrol,Automatic,white,1130000,9
Toyota,Camry,2006,125399,Nigerian used,E,Petrol,Automatic,black,1354000,15
Chevrolet,Uplander,2008,75538,Foreign used,D,Petrol,Automatic,grey,1145000,13
Nissan,Qashqai,2013,69635,Nigerian used,D,Petrol,Automatic,black,2586000,8
Isuzu,Rodeo,1998,157426,Nigerian used,D,Petrol,Automatic,silver,751250,23
Toyota,Highlander,2002,141654,Nigerian used,D,Petrol,Automatic,blue,1522000,19
Honda,Pilot,2007,151274,Foreign used,C,Petrol,Automatic,grey,2250000,14
Toyota,Matrix,2009,44927,Foreign used,E,Petrol,Automatic,silver,3202000,12
Ford,Focus,2014,89622,Nigerian used,D,Petrol,Automatic,silver,1482500,7
Honda,Accord,2008,112266,Nigerian used,C,Petrol,Automatic,black,1690000,13
Toyota,Land Cruiser Prado,2004,96287,Nigerian used,D,Petrol,Automatic,black,2270000,17
Mercedes-Benz,Ml350,2006,143975,Nigerian used,C,Petrol,Automatic,white,2720000,15
Kia,Optima,2010,86583,Foreign used,C,Petrol,Automatic,silver,2586000,11
BMW,3 Series,2000,223655,Nigerian used,E,Petrol,Automatic,blue,1634000,21
Honda,Accord,2014,122177,Nigerian used,C,Petrol,Automatic,blue,6207500,7
Toyota,Rav4,2010,75393,Foreign used,C,Petrol,Automatic,green,6506000,11
Ford,Mondeo,1997,180332,Nigerian used,E,Petrol,Automatic,silver,357500,24
Mitsubishi,L200,2014,53805,Nigerian used,E,Petrol,Manual,white,2810000,7
Nissan,Maxima,2007,220976,Foreign used,D,Petrol,Automatic,silver,1347500,14
Toyota,Camry,2008,87600,Nigerian used,D,Petrol,Automatic,blue,2495000,13
Hyundai,Sonata,2006,160724,Foreign used,C,Petrol,Automatic,grey,2250000,15
Volvo,S40,2001,171708,Nigerian used,D,Petrol,Automatic,grey,582500,20
Nissan,Pathfinder,2005,96486,Nigerian used,D,Petrol,Automatic,black,863750,16
Nissan,Pathfinder,2001,184996,Nigerian used,D,Petrol,Automatic,black,695000,20
Hyundai,Accent,2014,76531,Nigerian used,D,Petrol,Automatic,black,1595000,7
Acura,Tl,2005,178644,Nigerian used,D,Petrol,Automatic,silver,1354000,16
Toyota,Avalon,2011,122287,Foreign used,D,Petrol,Automatic,white,4126250,10
BMW,7 Series,2008,78075,Foreign used,C,Petrol,Automatic,black,4171250,13
Toyota,Sienna,2014,80778,Foreign used,D,Petrol,Automatic,black,4602000,7
Toyota,Rav4,2010,121504,Foreign used,E,Petrol,Automatic,black,3370000,11
Toyota,Sienna,2003,258451,Nigerian used,E,Petrol,Automatic,white,976250,18
Hyundai,Accent,2012,149511,Nigerian used,E,Petrol,Automatic,black,1932500,9
Honda,Accord,2003,209486,Nigerian used,D,Petrol,Automatic,silver,853750,18
BMW,5 Series,2004,63686,Nigerian used,D,Petrol,Automatic,brown,1370000,17
Hyundai,Accent,2011,71854,Nigerian used,C,Petrol,Automatic,grey,1932500,10
Peugeot,307,2004,193826,Foreign used,C,Petrol,Automatic,grey,1763750,17
Toyota,Hilux,2012,122660,Nigerian used,D,Petrol,Manual,white,5050000,9
Toyota,Sequoia,2003,95620,Nigerian used,E,Petrol,Automatic,ash,920000,18
Kia,Cerato,2015,74169,Nigerian used,E,Petrol,Automatic,red,2250000,6
Kia,Optima,2012,139498,Nigerian used,D,Petrol,Automatic,black,3057500,9
Kia,Cerato,2007,169050,Nigerian used,D,Petrol,Automatic,silver,695000,14
Toyota,Corolla,2015,96305,Foreign used,D,Petrol,Automatic,grey,4970000,6
Toyota,Rav4,2006,132384,Nigerian used,C,Petrol,Automatic,black,2270000,15
Ford,F-150,1997,138914,Nigerian used,E,Petrol,Automatic,black,1130000,24
Hyundai,Accent,2014,103200,Nigerian used,C,Petrol,Automatic,black,1595000,7
Toyota,Tundra,2007,113100,Nigerian used,C,Petrol,Automatic,grey,6730000,14
Nissan,Altima,2008,210271,Foreign used,D,Petrol,Automatic,grey,1572500,13
Toyota,Rav4,2009,219528,Foreign used,C,Petrol,Automatic,black,4070000,12
Toyota,Camry,2005,252563,Nigerian used,E,Petrol,Automatic,grey,1354000,16
Mazda,Mpv,2002,165373,Nigerian used,D,Petrol,Automatic,orange,526250,19
Pontiac,Aztek,2001,238746,Nigerian used,E,Petrol,Automatic,blue,863750,20
Mitsubishi,L200,2014,60005,Nigerian used,D,Petrol,Manual,white,2474000,7
Honda,Accord,2011,124723,Nigerian used,D,Petrol,Automatic,black,1466000,10
Acura,Mdx,2002,143436,Nigerian used,E,Petrol,Automatic,grey,1690000,19
Toyota,Corolla,2009,151189,Nigerian used,D,Petrol,Manual,silver,1528750,12
Honda,Accord,2008,101092,Nigerian used,E,Petrol,Automatic,red,1257500,13
Honda,Civic,2007,206044,Nigerian used,C,Petrol,Automatic,blue,863750,14
Toyota,4Runner,1999,204360,Nigerian used,D,Petrol,Automatic,green,638750,22
Land Rover,Freelander,2002,249647,Nigerian used,D,Petrol,Automatic,green,1370000,19
Mercedes-Benz,Ml350,2007,168826,Foreign used,C,Petrol,Automatic,white,4070000,14
Jeep,Cherokee,1998,282072,Nigerian used,E,Petrol,Automatic,blue,962000,23
Pontiac,Vibe,2008,152984,Foreign used,C,Petrol,Automatic,red,2776250,13
Hyundai,Accent,2008,157924,Nigerian used,E,Petrol,Manual,grey,570000,13
Mazda,Cx-7,2008,160860,Foreign used,D,Petrol,Automatic,grey,2551250,13
Toyota,Corolla,2003,178148,Nigerian used,E,Petrol,Automatic,grey,1242000,18
Ford,Flex,2010,107124,Foreign used,C,Petrol,Automatic,grey,4520000,11
Acura,Mdx,2007,95465,Foreign used,C,Petrol,Automatic,gold,3620000,14
Peugeot,406,2008,261624,Nigerian used,E,Petrol,Automatic,silver,695000,13
Toyota,Matrix,2008,100820,Foreign used,C,Petrol,Automatic,black,2485000,13
Honda,Accord Crosstour,2010,170205,Nigerian used,D,Petrol,Automatic,grey,2270000,11
Mercedes-Benz,Ml350,2008,146450,Nigerian used,C,Petrol,Automatic,red,3957500,13
Toyota,Venza,2012,104550,Nigerian used,C,Petrol,Automatic,grey,4490000,9
Toyota,Corolla,2008,217208,Nigerian used,D,Petrol,Automatic,black,1707500,13
Toyota,Corolla,2008,201805,Nigerian used,E,Petrol,Automatic,black,1354000,13
Cadillac,Cts,2012,147543,Foreign used,C,Petrol,Automatic,black,5610000,9
Lexus,Rx 330,2005,208912,Nigerian used,D,Petrol,Automatic,silver,2270000,16
Lexus,Rx 300,1999,278856,Nigerian used,D,Petrol,Automatic,white,1538750,22
Toyota,Hilux,2010,108451,Nigerian used,E,Diesel,Manual,grey,5082500,11
Mercedes-Benz,C200,1997,191587,Nigerian used,C,Petrol,Automatic,green,1088750,24
Suzuki,Vitara,2006,133841,Nigerian used,D,Petrol,Automatic,gold,1634000,15
Honda,Odyssey,1997,18848,Nigerian used,E,Petrol,Automatic,silver,526250,24
Honda,Accord,2008,185912,Nigerian used,D,Petrol,Automatic,red,1018000,13
Lexus,Es 350,2007,180190,Foreign used,C,Petrol,Automatic,black,4154000,14
Mercedes-Benz,C240,2000,303436,Foreign used,C,Petrol,Automatic,black,2270000,21
Toyota,Camry,2011,73049,Nigerian used,E,Petrol,Automatic,black,1472500,10
Toyota,Highlander,2006,223346,Foreign used,D,Petrol,Automatic,silver,3930000,15
Mazda,Cx-7,2007,77372,Foreign used,C,Petrol,Automatic,gold,2250000,14
Toyota,Camry,2012,102389,Foreign used,E,Petrol,Automatic,grey,4714000,9
Mercedes-Benz,E350,2010,173113,Foreign used,C,Petrol,Automatic,silver,5610000,11
Mazda,Mpv,2000,230900,Nigerian used,D,Petrol,Automatic,green,1032500,21
Toyota,Camry,2007,167582,Foreign used,C,Petrol,Automatic,silver,2382500,14
Honda,Accord,2005,165486,Nigerian used,E,Petrol,Automatic,black,751250,16
Toyota,Camry,2007,75203,Nigerian used,D,Petrol,Automatic,gold,1970000,14
Toyota,Corolla,2004,198444,Foreign used,C,Petrol,Automatic,gold,2530000,17
Toyota,Corolla,1993,126608,Nigerian used,E,Petrol,Automatic,grey,571250,28
Toyota,Camry,2007,109980,Nigerian used,D,Petrol,Automatic,blue,2270000,14
Toyota,Corolla,2003,178198,Nigerian used,D,Petrol,Automatic,silver,1370000,18
Honda,Accord,1999,201607,Nigerian used,D,Petrol,Automatic,grey,435600,22
Toyota,Land Cruiser Prado,2006,80554,Nigerian used,D,Petrol,Automatic,black,3930000,15
Mercedes-Benz,Cl500,2006,145856,Foreign used,C,Petrol,Automatic,silver,2026000,15
Toyota,Avensis,2004,154400,Nigerian used,E,Petrol,Manual,silver,1018000,17
Mitsubishi,SpaceStar,1995,337469,Foreign used,E,Diesel,Manual,white,2045000,26
Mercedes-Benz,Ml350,2006,219657,Nigerian used,C,Petrol,Automatic,silver,2810000,15
Toyota,Camry,2003,345084,Nigerian used,D,Petrol,Automatic,blue,1032500,18
Toyota,Corolla,2003,254245,Foreign used,D,Petrol,Automatic,silver,1763750,18
Nissan,Qashqai,2013,60946,Nigerian used,D,Petrol,Automatic,grey,1932500,8
Nissan,Pathfinder,2004,103470,Nigerian used,D,Petrol,Automatic,silver,570000,17
Lexus,Gx470,2005,233996,Nigerian used,D,Petrol,Automatic,gold,3146000,16
Honda,Accord,2011,112733,Nigerian used,E,Petrol,Automatic,grey,1466000,10
Pontiac,Torent,2006,207717,Nigerian used,C,Petrol,Automatic,red,2250000,15
Toyota,Camry,2002,242178,Nigerian used,D,Petrol,Automatic,green,1032500,19
Toyota,Camry,2012,95735,Foreign used,C,Petrol,Automatic,black,4490000,9
Toyota,Camry,2012,85373,Foreign used,D,Petrol,Automatic,grey,4650000,9
Toyota,Highlander,2002,192414,Nigerian used,C,Petrol,Automatic,gold,1370000,19
