manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price,car_age
Honda,Accord Crosstour,2010,86997,Nigerian used,D,Petrol,Automatic,opal sage,2922000,11
Honda,Accord,2003,82972,Nigerian used,E,Petrol,Automatic,blue,682000,18
Lexus,Rx 330,2004,94771,Nigerian used,D,Petrol,Automatic,silver,2026000,17
Ford,Edge,2011,316622,Nigerian used,D,Petrol,Automatic,black,2810000,10
Infiniti,Qx,1997,226429,Nigerian used,E,Petrol,Automatic,green,738000,24
Lexus,Gs 300,2006,137698,Foreign used,C,Petrol,Automatic,grey,3706000,15
Toyota,Camry,2005,105516,Nigerian used,C,Petrol,Automatic,blue,1354000,16
Mercedes-Benz,Ml500,2003,167308,Nigerian used,D,Petrol,Automatic,silver,1578000,18
Toyota,Highlander,2003,183983,Nigerian used,E,Petrol,Automatic,grey,1410000,18
Honda,Accord,2008,221321,Nigerian used,E,Petrol,Automatic,black,1018000,13
Land Rover,RANGE ROVER,2004,140000,Nigerian used,D,Petrol,Automatic,silver,2250000,17
Toyota,Venza,2010,114375,Foreign used,C,Petrol,Automatic,black,5610000,11
Lexus,Gx 470,2004,163151,Nigerian used,D,Petrol,Automatic,silver,3930000,17
Mercedes-Benz,A160,2001,247568,Foreign used,D,Diesel,Automatic,black,1466000,20
Toyota,Sienna,2000,211709,Nigerian used,D,Petrol,Automatic,grey,1242000,21
Honda,Pilot,2005,298797,Foreign used,D,Petrol,Automatic,silver,2250000,16
Jeep,Liberty,2012,89781,Nigerian used,C,Petrol,Automatic,grey,4266000,9
Toyota,Rav4,2004,133937,Nigerian used,D,Petrol,Automatic,black,1130000,17
BMW,318i,2008,187017,Nigerian used,D,Petrol,Automatic,black,1354000,13
Hyundai,Santa Fe,2004,197923,Nigerian used,D,Petrol,Automatic,black,1466000,17
Toyota,Venza,2013,113446,Nigerian used,C,Petrol,Automatic,black,4546000,8
Nissan,Versa,2014,84236,Foreign used,D,Petrol,Automatic,silver,2810000,7
Toyota,Camry,2004,186331,Nigerian used,D,Petrol,Automatic,grey,1410000,17
Honda,Accord,2015,69811,Nigerian used,C,Petrol,Automatic,blue,5050000,6
Hyundai,Sonata,2012,106382,Foreign used,D,Petrol,Automatic,silver,3034000,9
Toyota,Rav4,2006,152277,Nigerian used,D,Petrol,Automatic,blue,1858000,15
Volkswagen,Passat,2008,125452,Nigerian used,D,Petrol,Automatic,grey,1354000,13
Peugeot,508,2012,71227,Nigerian used,C,Petrol,Automatic,black,3370000,9
Hyundai,Santa Fe,2007,198052,Foreign used,C,Petrol,Automatic,grey,2810000,14
Toyota,Matrix,2003,206044,Nigerian used,D,Petrol,Automatic,blue,1578000,18
Toyota,Camry,2013,76090,Foreign used,C,Petrol,Automatic,red,5610000,8
Lexus,Es,2008,148410,Nigerian used,C,Petrol,Automatic,black,3370000,13
Mercedes-Benz,C280,2007,183599,Foreign used,C,Petrol,Automatic,blue,2586000,14
Toyota,Tacoma,2006,78658,Nigerian used,C,Petrol,Automatic,black,3370000,15
Volkswagen,Touareg,2004,183839,Nigerian used,E,Petrol,Automatic,red,1690000,17
Toyota,Sienna,2013,179750,Nigerian used,C,Petrol,Automatic,black,3930000,8
Kia,Optima,2012,111140,Nigerian used,C,Petrol,Automatic,black,2700000,9
Kia,Rio,2013,127373,Nigerian used,D,Petrol,Automatic,blue,1690000,8
Toyota,Corolla,2008,211181,Nigerian used,D,Petrol,Manual,blue,1018000,13
Land Rover,Range Rover HSE,2008,167396,Nigerian used,E,Petrol,Automatic,black,2586000,13
Kia,K3000,2013,113527,Foreign used,D,Petrol,Automatic,white,4042000,8
Nissan,Xterra,2006,237351,Nigerian used,C,Petrol,Automatic,grey,1354000,15
Toyota,Tacoma,2006,122941,Nigerian used,D,Petrol,Automatic,black,4154000,15
Lexus,Es 300,2002,215064,Nigerian used,E,Petrol,Automatic,wine,1242000,19
Toyota,Rav4,1997,240167,Nigerian used,E,Petrol,Automatic,black,626000,24
Nissan,Altima,2014,44140,Nigerian used,C,Petrol,Automatic,grey,5386000,7
Ford,Taurus,2008,167869,Nigerian used,D,Petrol,Automatic,blue,1298000,13
Toyota,Corolla,2009,148717,Nigerian used,D,Petrol,Manual,gold,1074000,12
Toyota,Camry,2000,236315,Nigerian used,D,Petrol,Automatic,gold,962000,21
Toyota,Camry,2008,121984,Nigerian used,D,Petrol,Automatic,grey,2250000,13
Toyota,Camry,2007,100609,Nigerian used,E,Petrol,Automatic,gold,1466000,14
Toyota,Camry,1995,244360,Nigerian used,D,Petrol,Automatic,black,420000,26
Toyota,Camry,2012,54247,Foreign used,C,Petrol,Automatic,red,4938000,9
Hyundai,Sonata,2012,112051,Foreign used,C,Petrol,Automatic,silver,3272500,9
Toyota,Corolla,2009,141529,Nigerian used,E,Petrol,Automatic,black,2026000,12
Mini,Cooper,2002,319211,Nigerian used,D,Petrol,Automatic,blue,1018000,19
Toyota,Highlander,2011,68731,Nigerian used,C,Petrol,Automatic,grey,5274000,10
Kia,Sportage,2008,147916,Nigerian used,E,Petrol,Automatic,black,1354000,13
Honda,Accord Crosstour,2010,62233,Nigerian used,C,Petrol,Automatic,grey,2026000,11
Toyota,Camry,2002,315410,Nigerian used,E,Petrol,Automatic,ash,1018000,19
Toyota,Highlander,2004,233569,Nigerian used,D,Petrol,Automatic,green,1746000,17
Mercedes-Benz,C300,2010,141038,Foreign used,D,Petrol,Automatic,black,3594000,11
Mercedes-Benz,E350,2010,65126,Nigerian used,C,Petrol,Automatic,black,4490000,11
Audi,A6,2000,321967,Nigerian used,D,Petrol,Manual,grey,738000,21
Nissan,Altima,2012,190209,Nigerian used,C,Petrol,Automatic,red,2250000,9
Mercedes-Benz,E350,2007,86981,Nigerian used,D,Petrol,Automatic,black,1802000,14
Toyota,Rav4,2008,129937,Nigerian used,D,Petrol,Automatic,blue,2586000,13
Honda,Accord,2008,150026,Nigerian used,D,Petrol,Automatic,grey,1690000,13
Chrysler,Sebring,2004,191755,Nigerian used,D,Petrol,Automatic,silver,1130000,17
Lexus,Rx 330,2005,126602,Nigerian used,E,Petrol,Automatic,silver,2250000,16
Toyota,Avalon,2003,206142,Nigerian used,C,Petrol,Automatic,green,1242000,18
Mercedes-Benz,C240,2005,208460,Nigerian used,E,Petrol,Automatic,blue,1354000,16
Chrysler,Town & Country,2005,119631,Nigerian used,D,Petrol,Automatic,white,570000,16
Toyota,Land Cruiser,2007,1544,Nigerian used,D,Petrol,Automatic,black,4490000,14
Toyota,Highlander,2006,123480,Nigerian used,D,Petrol,Automatic,cream,2250000,15
Mercedes-Benz,GL450,2007,122890,Nigerian used,D,Petrol,Automatic,black,3034000,14
Toyota,Corolla,2004,299999,Nigerian used,D,Petrol,Automatic,grey,1802000,17
Ford,Focus,2016,36765,Nigerian used,D,Petrol,Automatic,ash,4490000,5
Honda,Accord,2015,15489,Nigerian used,C,Petrol,Automatic,grey,4378000,6
Lexus,Gx 470,2005,110044,Nigerian used,C,Petrol,Automatic,blue,3930000,16
Hyundai,Elantra,2008,160243,Foreign used,D,Petrol,Automatic,red,2082000,13
Toyota,Venza,2010,168746,Nigerian used,C,Petrol,Automatic,silver,6170000,11
Ford,Explorer,2002,275643,Nigerian used,D,Petrol,Automatic,white,1130000,19
Toyota,Highlander,2008,67400,Nigerian used,D,Petrol,Automatic,wine,5050000,13
Ford,Edge,2009,99026,Foreign used,D,Petrol,Automatic,white,2250000,12
Hyundai,I10,2019,69077,Foreign used,C,Petrol,Automatic,grey,2810000,2
Toyota,Camry,2002,190561,Nigerian used,D,Petrol,Automatic,blue,1466000,19
Toyota,Corolla,2016,13470,Nigerian used,C,Petrol,Automatic,black,5946000,5
Land Rover,Range Rover Sport,2006,192990,Nigerian used,C,Petrol,Automatic,white,3370000,15
Volkswagen,Jetta,2003,236570,Nigerian used,D,Petrol,Automatic,grey,794000,18
Toyota,Rav4,2007,126233,Nigerian used,C,Petrol,Automatic,blue,2138000,14
Toyota,Sienna,2008,128388,Nigerian used,E,Petrol,Automatic,blue,1914000,13
Toyota,Camry,2011,230545,Foreign used,D,Petrol,Automatic,silver,3930000,10
Toyota,Highlander,2008,104840,Nigerian used,E,Petrol,Automatic,silver,2922000,13
Toyota,Sienna,2006,320092,Nigerian used,E,Petrol,Automatic,blue,1802000,15
Honda,Accord,2003,203100,Nigerian used,E,Petrol,Automatic,grey,682000,18
Toyota,Venza,2011,70536,Nigerian used,C,Petrol,Automatic,black,2978000,10
Mercedes-Benz,C230,2006,126999,Nigerian used,C,Petrol,Automatic,black,2698000,15
Toyota,Highlander,2006,273080,Foreign used,D,Petrol,Automatic,black,3818000,15
Toyota,Highlander,2009,92434,Foreign used,C,Petrol,Automatic,silver,5162000,12
Honda,Odyssey,2007,258939,Nigerian used,D,Petrol,Automatic,cream,1410000,14
Toyota,Camry,2005,191262,Foreign used,E,Petrol,Automatic,black,2362000,16
Honda,Accord,2008,63653,Nigerian used,C,Petrol,Automatic,black,1858000,13
BMW,3 Series,2006,149130,Foreign used,C,Petrol,Automatic,blue,2586000,15
Toyota,Corolla,2003,205887,Nigerian used,E,Petrol,Automatic,blue,1130000,18
Ford,Explorer,2011,43186,Nigerian used,C,Petrol,Automatic,silver,5162000,10
Acura,Mdx,2001,311509,Nigerian used,E,Petrol,Automatic,silver,906000,20
Toyota,Venza,2010,43839,Nigerian used,D,Petrol,Automatic,gold,4882000,11
Nissan,Pathfinder,2002,97791,Nigerian used,E,Petrol,Automatic,black,906000,19
Lexus,Rx 330,2004,243562,Nigerian used,C,Petrol,Automatic,white,1690000,17
Honda,Pilot,2003,162874,Foreign used,E,Petrol,Automatic,silver,1746000,18
Skoda,Fabia,2008,7748,Nigerian used,D,Petrol,Manual,blue,514000,13
Ford,Explorer,2006,64811,Nigerian used,C,Petrol,Automatic,black,2250000,15
Toyota,Highlander,2008,172070,Nigerian used,D,Petrol,Automatic,black,3594000,13
Mercedes-Benz,C300,2010,143685,Foreign used,C,Petrol,Automatic,black,3930000,11
Toyota,Venza,2009,104020,Nigerian used,C,Petrol,Automatic,red,3706000,12
Acura,Rdx,2008,43858,Foreign used,D,Petrol,Automatic,black,3146000,13
Mercedes-Benz,CLS350,2005,195322,Nigerian used,E,Petrol,Automatic,white,3146000,16
Toyota,Camry,2007,127849,Nigerian used,C,Petrol,Automatic,black,2250000,14
Suzuki,Forenza,2004,99514,Nigerian used,D,Petrol,Automatic,red,738000,17
Toyota,Highlander,2002,169390,Nigerian used,D,Petrol,Automatic,blue,1802000,19
Lexus,Rx 300,2002,168174,Nigerian used,D,Petrol,Automatic,silver,2026000,19
Toyota,Camry,2006,271856,Nigerian used,D,Petrol,Automatic,silver,1690000,15
Nissan,Altima,2003,231979,Nigerian used,E,Petrol,Automatic,red,402000,18
Ford,Focus,2003,219346,Nigerian used,C,Petrol,Manual,grey,794000,18
Nissan,Sentra,2012,287510,Nigerian used,D,Petrol,Automatic,grey,1466000,9
Toyota,Corolla,2008,163507,Nigerian used,D,Petrol,Automatic,black,1858000,13
Mini,Cooper,2012,129994,Nigerian used,C,Petrol,Manual,white,5610000,9
Toyota,Camry,2003,209800,Nigerian used,D,Petrol,Automatic,gold,1410000,18
Toyota,Corolla,2009,198402,Nigerian used,D,Petrol,Automatic,black,1634000,12
Toyota,Corolla,2005,134594,Nigerian used,C,Petrol,Automatic,grey,1690000,16
Honda,Civic,2004,101256,Nigerian used,D,Petrol,Automatic,blue,659600,17
Toyota,Corolla,2000,157615,Nigerian used,D,Petrol,Automatic,red,794000,21
Dodge,Charger,2008,105249,Nigerian used,E,Petrol,Automatic,black,1130000,13
Nissan,Maxima,2007,83648,Foreign used,C,Petrol,Automatic,silver,1242000,14
Acura,Tl,2004,139505,Nigerian used,C,Petrol,Automatic,black,1018000,17
Toyota,Corolla,2002,131615,Nigerian used,D,Petrol,Automatic,blue,850000,19
Honda,Accord,2007,148147,Nigerian used,D,Petrol,Automatic,blue,1242000,14
Infiniti,Qx,2001,143177,Nigerian used,D,Petrol,Automatic,gold,1242000,20
Volkswagen,Sharan,2000,231784,Foreign used,D,Petrol,Manual,green,1970000,21
Ford,Edge,2007,108642,Nigerian used,C,Petrol,Automatic,white,1690000,14
Hyundai,Accent,2008,121767,Nigerian used,D,Petrol,Manual,gold,626000,13
Toyota,Corolla,2007,138146,Nigerian used,E,Petrol,Manual,black,682000,14
Lexus,Is 250,2006,86331,Nigerian used,C,Petrol,Automatic,silver,2362000,15
Nissan,Xterra,2007,154979,Nigerian used,E,Petrol,Automatic,black,1242000,14
Honda,Odyssey,2006,148669,Foreign used,C,Petrol,Automatic,grey,2586000,15
Nissan,Armada,2007,63889,Nigerian used,D,Petrol,Automatic,green,1186000,14
Toyota,4Runner,2000,208209,Nigerian used,D,Petrol,Automatic,silver,794000,21
Volkswagen,Passat,2012,59082,Nigerian used,C,Petrol,Automatic,black,3090000,9
Honda,Accord,2007,133778,Nigerian used,D,Petrol,Automatic,grey,962000,14
Toyota,Avalon,2006,86719,Nigerian used,C,Petrol,Automatic,beige,1858000,15
