manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price
Peugeot,508,2012,71227,Nigerian used,C,Petrol,Automatic,black,3370000
Hyundai,Santa Fe,2007,198052,Foreign used,C,Petrol,Automatic,grey,2810000
Toyota,Matrix,2003,206044,Nigerian used,D,Petrol,Automatic,blue,1578000
Mercedes-Benz,GL400,2013,63085,Nigerian used,D,Petrol,Automatic,black,15690000
Toyota,Camry,2013,76090,Foreign used,C,Petrol,Automatic,red,5610000
Lexus,Es,2008,148410,Nigerian used,C,Petrol,Automatic,black,3370000
Mercedes-Benz,C280,2007,183599,Foreign used,C,Petrol,Automatic,blue,2586000
Toyota,Tacoma,2006,78658,Nigerian used,C,Petrol,Automatic,black,3370000
Volkswagen,Touareg,2004,183839,Nigerian used,E,Petrol,Automatic,red,1690000
Toyota,Sienna,2013,179750,Nigerian used,C,Petrol,Automatic,black,3930000
Kia,Optima,2012,111140,Nigerian used,C,Petrol,Automatic,black,2700000
Kia,Rio,2013,127373,Nigerian used,D,Petrol,Automatic,blue,1690000
Toyota,Corolla,2008,211181,Nigerian used,D,Petrol,Manual,blue,1018000
Honda,Accord,2008,411658,Nigerian used,D,Petrol,Automatic,black,1410000
Land Rover,Range Rover HSE,2008,167396,Nigerian used,E,Petrol,Automatic,black,2586000
Kia,K3000,2013,113527,Foreign used,D,Petrol,Automatic,white,4042000
Nissan,Xterra,2006,237351,Nigerian used,C,Petrol,Automatic,grey,1354000
Toyota,Tacoma,2006,122941,Nigerian used,D,Petrol,Automatic,black,4154000
Lexus,Es 300,2002,215064,Nigerian used,E,Petrol,Automatic,wine,1242000
Toyota,Rav4,1997,240167,Nigerian used,E,Petrol,Automatic,black,626000
Nissan,Altima,2014,44140,Nigerian used,C,Petrol,Automatic,grey,5386000
Ford,Taurus,2008,167869,Nigerian used,D,Petrol,Automatic,blue,1298000
Toyota,Corolla,2009,148717,Nigerian used,D,Petrol,Manual,gold,1074000
Toyota,Camry,2000,236315,Nigerian used,D,Petrol,Automatic,gold,962000
Toyota,Camry,2008,121984,Nigerian used,D,Petrol,Automatic,grey,2250000
Toyota,Camry,2007,100609,Nigerian used,E,Petrol,Automatic,gold,1466000
Toyota,Camry,1995,244360,Nigerian used,D,Petrol,Automatic,black,420000
Toyota,Camry,2012,54247,Foreign used,C,Petrol,Automatic,red,4938000
Hyundai,Sonata,2012,112051,Foreign used,C,Petrol,Automatic,silver,3272500
Toyota,Corolla,2009,141529,Nigerian used,E,Petrol,Automatic,black,2026000
Mini,Cooper,2002,319211,Nigerian used,D,Petrol,Automatic,blue,1018000
Toyota,Highlander,2011,68731,Nigerian used,C,Petrol,Automatic,grey,5274000
Kia,Sportage,2008,147916,Nigerian used,E,Petrol,Automatic,black,1354000
Honda,Accord Crosstour,2010,62233,Nigerian used,C,Petrol,Automatic,grey,2026000
Toyota,Camry,2002,315410,Nigerian used,E,Petrol,Automatic,ash,1018000
Lexus,Lx 570,2016,11886,Foreign used,A,Petrol,Automatic,white,65100000
Toyota,Highlander,2004,233569,Nigerian used,D,Petrol,Automatic,green,1746000
Mercedes-Benz,C300,2010,141038,Foreign used,D,Petrol,Automatic,black,3594000
Nissan,Maxima,2004,751123,Nigerian used,E,Petrol,Automatic,blue,682000
Mercedes-Benz,E350,2010,65126,Nigerian used,C,Petrol,Automatic,black,4490000
Audi,A6,2000,321967,Nigerian used,D,Petrol,Manual,grey,738000
Nissan,Altima,2012,190209,Nigerian used,C,Petrol,Automatic,red,2250000
Mercedes-Benz,E350,2007,86981,Nigerian used,D,Petrol,Automatic,black,1802000
Toyota,Rav4,2008,129937,Nigerian used,D,Petrol,Automatic,blue,2586000
Honda,Accord,2008,150026,Nigerian used,D,Petrol,Automatic,grey,1690000
Chrysler,Sebring,2004,191755,Nigerian used,D,Petrol,Automatic,silver,1130000
Lexus,Rx 330,2005,126602,Nigerian used,E,Petrol,Automatic,silver,2250000
Toyota,Avalon,2003,206142,Nigerian used,C,Petrol,Automatic,green,1242000
Mercedes-Benz,C240,2005,208460,Nigerian used,E,Petrol,Automatic,blue,1354000
Chrysler,Town & Country,2005,119631,Nigerian used,D,Petrol,Automatic,white,570000
Toyota,Land Cruiser,2007,1544,Nigerian used,D,Petrol,Automatic,black,4490000
Toyota,Highlander,2006,123480,Nigerian used,D,Petrol,Automatic,cream,2250000
Mercedes-Benz,GL450,2007,122890,Nigerian used,D,Petrol,Automatic,black,3034000
Mercedes-Benz,GL450,2013,104242,Foreign used,D,Electric,Automatic,black,16810000
Toyota,Corolla,2004,299999,Nigerian used,D,Petrol,Automatic,grey,1802000
Ford,Focus,2016,36765,Nigerian used,D,Petrol,Automatic,ash,4490000
Honda,Accord,2015,15489,Nigerian used,C,Petrol,Automatic,grey,4378000
Lexus,GX470,2008,154032,Foreign used,D,Petrol,Automatic,silver,7850000
Lexus,Gx 470,2005,110044,Nigerian used,C,Petrol,Automatic,blue,3930000
Hyundai,Elantra,2008,160243,Foreign used,D,Petrol,Automatic,red,2082000
Toyota,Venza,2010,168746,Nigerian used,C,Petrol,Automatic,silver,6170000
Ford,Explorer,2002,275643,Nigerian used,D,Petrol,Automatic,white,1130000
Toyota,Highlander,2008,67400,Nigerian used,D,Petrol,Automatic,wine,5050000
Ford,Edge,2009,99026,Foreign used,D,Petrol,Automatic,white,2250000
Hyundai,I10,2019,69077,Foreign used,C,Petrol,Automatic,grey,2810000
Toyota,Camry,2002,190561,Nigerian used,D,Petrol,Automatic,blue,1466000
Toyota,Corolla,2016,13470,Nigerian used,C,Petrol,Automatic,black,5946000
Land Rover,Range Rover Sport,2006,192990,Nigerian used,C,Petrol,Automatic,white,3370000
Toyota,Corolla,2017,86714,Foreign used,C,Petrol,Automatic,grey,8970000
Volkswagen,Jetta,2003,236570,Nigerian used,D,Petrol,Automatic,grey,794000
Toyota,Rav4,2007,126233,Nigerian used,C,Petrol,Automatic,blue,2138000
Toyota,Sienna,2008,128388,Nigerian used,E,Petrol,Automatic,blue,1914000
Toyota,Camry,2011,230545,Foreign used,D,Petrol,Automatic,silver,3930000
Toyota,Highlander,2008,104840,Nigerian used,E,Petrol,Automatic,silver,2922000
Toyota,Sienna,2006,320092,Nigerian used,E,Petrol,Automatic,blue,1802000
Mercedes-Benz,GL450,2012,65444,Foreign used,C,Petrol,Automatic,silver,7850000
Honda,Accord,2003,203100,Nigerian used,E,Petrol,Automatic,grey,682000
Lexus,Gx460,2015,45889,Nigerian used,D,Petrol,Automatic,black,16810000
Toyota,Venza,2011,70536,Nigerian used,C,Petrol,Automatic,black,2978000
Mercedes-Benz,C230,2006,126999,Nigerian used,C,Petrol,Automatic,black,2698000
Toyota,Highlander,2006,273080,Foreign used,D,Petrol,Automatic,black,3818000
Toyota,Highlander,2009,92434,Foreign used,C,Petrol,Automatic,silver,5162000
Honda,Odyssey,2007,258939,Nigerian used,D,Petrol,Automatic,cream,1410000
Toyota,Camry,2005,191262,Foreign used,E,Petrol,Automatic,black,2362000
Honda,Accord,2008,63653,Nigerian used,C,Petrol,Automatic,black,1858000
Toyota,Rav4,2008,1,Nigerian used,E,Petrol,Automatic,grey,1690000
BMW,3 Series,2006,149130,Foreign used,C,Petrol,Automatic,blue,2586000
Toyota,Corolla,2003,205887,Nigerian used,E,Petrol,Automatic,blue,1130000
Ford,Explorer,2011,43186,Nigerian used,C,Petrol,Automatic,silver,5162000
Honda,Accord,2018,9413,Foreign used,D,Petrol,Automatic,red,11210000
Acura,Mdx,2001,311509,Nigerian used,E,Petrol,Automatic,silver,906000
Toyota,Venza,2010,43839,Nigerian used,D,Petrol,Automatic,gold,4882000
Nissan,Pathfinder,2002,97791,Nigerian used,E,Petrol,Automatic,black,906000
